Customer,Rev (mUSD)
PowerDial Connect,3.5
DataWorks Technologies,3
Game Genius Studios,2.2
PixelVerse,2.1
NetLaunch Technologies,1.69
Code Wave Innovations,1.68
CodeWave Innovations,1.67
Component Connoisseurs,1.1
Rulebook Rendezvous Co,0.85
Artistic Adventures Co,0.8
Byte Works Interactive,0.75
Logic Lab Systems,0.7
Dice Daredevils Co,0.6
Innovate Tech Solutions,0.5
CloudSync Systems,0.4
Gamebox Innovators,0.3
Miniature Manufactory Studios,0.25
Dice Masters Studios,0.2
Pixel Forge Interactive,0.1
